T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
231,Ethiopia,2020,Domestic general government health expenditure (% of total government expenditure),6.8,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
231,Ethiopia,2021,Domestic general government health expenditure (% of total government expenditure),7.1,Data refer to fiscal years beginning 8 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2005,Current health expenditure (% of GDP),3.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2010,Current health expenditure (% of GDP),3.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2015,Current health expenditure (% of GDP),3.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2019,Current health expenditure (% of GDP),4.3,Data refer to fiscal years beginning 1 August.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2020,Current health expenditure (% of GDP),4.8,Data refer to fiscal years beginning 1 August.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2021,Current health expenditure (% of GDP),5.4,Data refer to fiscal years beginning 1 August.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2005,Domestic general government health expenditure (% of total government expenditure),10.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2010,Domestic general government health expenditure (% of total government expenditure),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2015,Domestic general government health expenditure (% of total government expenditure),7.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2019,Domestic general government health expenditure (% of total government expenditure),8.7,Data refer to fiscal years beginning 1 August.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2020,Domestic general government health expenditure (% of total government expenditure),9.1,Data refer to fiscal years beginning 1 August.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
242,Fiji,2021,Domestic general government health expenditure (% of total government expenditure),9.4,Data refer to fiscal years beginning 1 August.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2005,Current health expenditure (% of GDP),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2010,Current health expenditure (% of GDP),9.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2015,Current health expenditure (% of GDP),9.6,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2019,Current health expenditure (% of GDP),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2020,Current health expenditure (% of GDP),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2021,Current health expenditure (% of GDP),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2005,Domestic general government health expenditure (% of total government expenditure),13.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2010,Domestic general government health expenditure (% of total government expenditure),13.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2015,Domestic general government health expenditure (% of total government expenditure),13.4,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2019,Domestic general government health expenditure (% of total government expenditure),13.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2020,Domestic general government health expenditure (% of total government expenditure),13.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
246,Finland,2021,Domestic general government health expenditure (% of total government expenditure),15.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2005,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2010,Current health expenditure (% of GDP),11.2,Break in the time series.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2015,Current health expenditure (% of GDP),11.4,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2019,Current health expenditure (% of GDP),11.1,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2020,Current health expenditure (% of GDP),12.1,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2021,Current health expenditure (% of GDP),12.3,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2005,Domestic general government health expenditure (% of total government expenditure),13.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2010,Domestic general government health expenditure (% of total government expenditure),13.9,Break in the time series.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2015,Domestic general government health expenditure (% of total government expenditure),14.6,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2019,Domestic general government health expenditure (% of total government expenditure),15.1,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2020,Domestic general government health expenditure (% of total government expenditure),15.1,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
250,France,2021,Domestic general government health expenditure (% of total government expenditure),15.8,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2024."
